Date,Product,Production_quantity,Mesurement_unit
2015-01-01,Beer,1014.616229,Liters
2015-01-02,Beer,1901.757986,Liters
2015-01-03,Beer,1152.757594,Liters
2015-01-04,Beer,2051.982431,Liters
2015-01-05,Beer,1856.545389,Liters
2015-01-06,Beer,1641.009394,Liters
2015-01-07,Beer,1593.78559,Liters
2015-01-08,Beer,1463.443502,Liters
2015-01-09,Beer,1169.00142,Liters
2015-01-10,Beer,1764.254861,Liters
2015-01-11,Beer,1491.348351,Liters
2015-01-12,Beer,1431.187008,Liters
2015-01-13,Beer,1290.371566,Liters
2015-01-14,Beer,1003.099971,Liters
2015-01-15,Beer,1901.330557,Liters
2015-01-16,Beer,2128.565154,Liters
2015-01-17,Beer,2028.698464,Liters
2015-01-18,Beer,1384.877293,Liters
2015-01-19,Beer,1260.75242,Liters
2015-01-20,Beer,2018.644348,Liters
2015-01-21,Beer,1979.273155,Liters
2015-01-22,Beer,2022.093419,Liters
2015-01-23,Beer,2215.24738,Liters
2015-01-24,Beer,1649.953552,Liters
2015-01-25,Beer,1614.282925,Liters
2015-01-26,Beer,1071.861708,Liters
2015-01-27,Beer,1637.416917,Liters
2015-01-28,Beer,1866.440031,Liters
2015-01-29,Beer,2063.600192,Liters
2015-01-30,Beer,1026.235331,Liters
2015-01-31,Beer,1513.782212,Liters
2015-02-01,Beer,1844.964164,Liters
2015-02-02,Beer,2266.522211,Liters
2015-02-03,Beer,1298.050465,Liters
2015-02-04,Beer,1755.407618,Liters
2015-02-05,Beer,1444.505209,Liters
2015-02-06,Beer,1595.596585,Liters
2015-02-07,Beer,1613.940149,Liters
2015-02-08,Beer,1382.786581,Liters
2015-02-09,Beer,1810.617711,Liters
2015-02-10,Beer,1453.303967,Liters
2015-02-11,Beer,2005.701852,Liters
2015-02-12,Beer,1725.180759,Liters
2015-02-13,Beer,1861.107734,Liters
2015-02-14,Beer,1874.456204,Liters
2015-02-15,Beer,1038.034792,Liters
2015-02-16,Beer,1236.133442,Liters
2015-02-17,Beer,1974.994509,Liters
2015-02-18,Beer,1733.037626,Liters
2015-02-19,Beer,2216.373582,Liters
2015-02-20,Beer,1796.220986,Liters
2015-02-21,Beer,1191.478579,Liters
2015-02-22,Beer,1196.184511,Liters
2015-02-23,Beer,1826.886392,Liters
2015-02-24,Beer,2274.523197,Liters
2015-02-25,Beer,1797.657927,Liters
2015-02-26,Beer,2078.33076,Liters
2015-02-27,Beer,1324.997163,Liters
2015-02-28,Beer,1561.263513,Liters
2015-03-01,Beer,1849.569056,Liters
2015-03-02,Beer,2262.936928,Liters
2015-03-03,Beer,1624.227459,Liters
2015-03-04,Beer,2209.329437,Liters
2015-03-05,Beer,1502.307633,Liters
2015-03-06,Beer,1503.634119,Liters
2015-03-07,Beer,1984.821723,Liters
2015-03-08,Beer,2001.098803,Liters
2015-03-09,Beer,1808.152769,Liters
2015-03-10,Beer,1677.697756,Liters
2015-03-11,Beer,1624.665296,Liters
2015-03-12,Beer,1127.053676,Liters
2015-03-13,Beer,1853.319728,Liters
2015-03-14,Beer,2293.677669,Liters
2015-03-15,Beer,1410.627298,Liters
2015-03-16,Beer,1844.430576,Liters
2015-03-17,Beer,1535.438569,Liters
2015-03-18,Beer,1544.74782,Liters
2015-03-19,Beer,1169.829929,Liters
2015-03-20,Beer,2013.937562,Liters
2015-03-21,Beer,1138.673807,Liters
2015-03-22,Beer,1200.832543,Liters
2015-03-23,Beer,1650.311335,Liters
2015-03-24,Beer,2124.713017,Liters
2015-03-25,Beer,1353.524926,Liters
2015-03-26,Beer,2278.183576,Liters
2015-03-27,Beer,1448.572709,Liters
2015-03-28,Beer,1337.46129,Liters
2015-03-29,Beer,1589.324046,Liters
2015-03-30,Beer,1974.983301,Liters
2015-03-31,Beer,1993.915229,Liters
2015-04-01,Beer,1945.563106,Liters
2015-04-02,Beer,2204.365066,Liters
2015-04-03,Beer,2024.248278,Liters
2015-04-04,Beer,1857.137336,Liters
2015-04-05,Beer,1539.353296,Liters
2015-04-06,Beer,2261.457699,Liters
2015-04-07,Beer,2025.153443,Liters
2015-04-08,Beer,2074.412601,Liters
2015-04-09,Beer,2225.36122,Liters
2015-04-10,Beer,1598.328274,Liters
2015-04-11,Beer,2058.563133,Liters
2015-04-12,Beer,1929.760824,Liters
2015-04-13,Beer,2025.207722,Liters
2015-04-14,Beer,1861.440305,Liters
2015-04-15,Beer,1559.207049,Liters
2015-04-16,Beer,1355.065968,Liters
2015-04-17,Beer,2004.901366,Liters
2015-04-18,Beer,2316.217208,Liters
2015-04-19,Beer,1716.151081,Liters
2015-04-20,Beer,1801.183489,Liters
2015-04-21,Beer,2131.965894,Liters
2015-04-22,Beer,1309.70971,Liters
2015-04-23,Beer,2093.458215,Liters
2015-04-24,Beer,1819.663115,Liters
2015-04-25,Beer,2197.952497,Liters
2015-04-26,Beer,2016.073488,Liters
2015-04-27,Beer,1703.101653,Liters
2015-04-28,Beer,2123.195214,Liters
2015-04-29,Beer,1063.424983,Liters
2015-04-30,Beer,1458.896784,Liters
2015-05-01,Beer,2203.598586,Liters
2015-05-02,Beer,2000.597392,Liters
2015-05-03,Beer,2320.851625,Liters
2015-05-04,Beer,1320.868564,Liters
2015-05-05,Beer,1694.979576,Liters
2015-05-06,Beer,1873.421418,Liters
2015-05-07,Beer,1150.925838,Liters
2015-05-08,Beer,1036.918992,Liters
2015-05-09,Beer,1631.385126,Liters
2015-05-10,Beer,2034.755632,Liters
2015-05-11,Beer,1533.881628,Liters
2015-05-12,Beer,1323.658265,Liters
2015-05-13,Beer,2147.273351,Liters
2015-05-14,Beer,1657.294455,Liters
2015-05-15,Beer,1406.742537,Liters
2015-05-16,Beer,1645.785179,Liters
2015-05-17,Beer,1476.67562,Liters
2015-05-18,Beer,1807.033906,Liters
2015-05-19,Beer,1010.972307,Liters
2015-05-20,Beer,1579.835125,Liters
2015-05-21,Beer,1519.043009,Liters
2015-05-22,Beer,1160.583285,Liters
2015-05-23,Beer,2234.712306,Liters
2015-05-24,Beer,1766.948879,Liters
2015-05-25,Beer,1692.700089,Liters
2015-05-26,Beer,2104.154773,Liters
2015-05-27,Beer,1687.909323,Liters
2015-05-28,Beer,1257.218847,Liters
2015-05-29,Beer,2264.992245,Liters
2015-05-30,Beer,1114.727019,Liters
2015-05-31,Beer,1781.897442,Liters
2015-06-01,Beer,1440.590251,Liters
2015-06-02,Beer,1845.919192,Liters
2015-06-03,Beer,1707.041386,Liters
2015-06-04,Beer,2107.116015,Liters
2015-06-05,Beer,1557.133899,Liters
2015-06-06,Beer,1706.604888,Liters
2015-06-07,Beer,1731.614285,Liters
2015-06-08,Beer,2103.700778,Liters
2015-06-09,Beer,1404.751312,Liters
2015-06-10,Beer,1463.096451,Liters
2015-06-11,Beer,1885.04966,Liters
2015-06-12,Beer,1355.175872,Liters
2015-06-13,Beer,1016.084687,Liters
2015-06-14,Beer,1451.469041,Liters
2015-06-15,Beer,2158.422927,Liters
2015-06-16,Beer,1576.249799,Liters
2015-06-17,Beer,2132.356682,Liters
2015-06-18,Beer,1972.033679,Liters
2015-06-19,Beer,2003.46216,Liters
2015-06-20,Beer,1148.475127,Liters
2015-06-21,Beer,2293.688304,Liters
2015-06-22,Beer,1165.274863,Liters
2015-06-23,Beer,2013.142694,Liters
2015-06-24,Beer,1110.806949,Liters
