country,date,people_fully_vaccinated,daily_vaccinations,people_fully_vaccinated_per_hundred,source_name
Afghanistan,22.02.21,,,,World Health Organization
Afghanistan,23.02.21,,1367,,World Health Organization
Afghanistan,24.02.21,,1367,,World Health Organization
Afghanistan,25.02.21,,1367,,World Health Organization
Afghanistan,26.02.21,,1367,,World Health Organization
Afghanistan,27.02.21,,1367,,World Health Organization
Afghanistan,28.02.21,,1367,,World Health Organization
Afghanistan,01.03.21,,1580,,World Health Organization
Afghanistan,02.03.21,,1794,,World Health Organization
Afghanistan,03.03.21,,2008,,World Health Organization
Afghanistan,04.03.21,,2221,,World Health Organization
Afghanistan,05.03.21,,2435,,World Health Organization
Afghanistan,06.03.21,,2649,,World Health Organization
Afghanistan,07.03.21,,2862,,World Health Organization
Afghanistan,08.03.21,,2862,,World Health Organization
Afghanistan,09.03.21,,2862,,World Health Organization
Afghanistan,10.03.21,,2862,,World Health Organization
Afghanistan,11.03.21,,2862,,World Health Organization
Afghanistan,12.03.21,,2862,,World Health Organization
Afghanistan,13.03.21,,2862,,World Health Organization
Afghanistan,14.03.21,,2862,,World Health Organization
Afghanistan,15.03.21,,2862,,World Health Organization
Afghanistan,16.03.21,,2862,,World Health Organization
Afghanistan,17.03.21,,2882,,World Health Organization
Afghanistan,18.03.21,,2902,,World Health Organization
Afghanistan,19.03.21,,2921,,World Health Organization
Afghanistan,20.03.21,,2941,,World Health Organization
Afghanistan,21.03.21,,2961,,World Health Organization
Afghanistan,22.03.21,,2980,,World Health Organization
Afghanistan,23.03.21,,3000,,World Health Organization
Afghanistan,24.03.21,,3000,,World Health Organization
Afghanistan,25.03.21,,3000,,World Health Organization
Afghanistan,26.03.21,,3000,,World Health Organization
Afghanistan,27.03.21,,3000,,World Health Organization
Afghanistan,28.03.21,,3000,,World Health Organization
Afghanistan,29.03.21,,3000,,World Health Organization
Afghanistan,30.03.21,,3000,,World Health Organization
Afghanistan,31.03.21,,3000,,World Health Organization
Afghanistan,01.04.21,,3000,,World Health Organization
Afghanistan,02.04.21,,3000,,World Health Organization
Afghanistan,03.04.21,,3000,,World Health Organization
Afghanistan,04.04.21,,3000,,World Health Organization
Afghanistan,05.04.21,,3000,,World Health Organization
Afghanistan,06.04.21,,3000,,World Health Organization
Afghanistan,07.04.21,,3000,,World Health Organization
Afghanistan,08.04.21,,3714,,World Health Organization
Afghanistan,09.04.21,,4429,,World Health Organization
Afghanistan,10.04.21,,5143,,World Health Organization
Afghanistan,11.04.21,,5857,,World Health Organization
Afghanistan,12.04.21,,6571,,World Health Organization
Afghanistan,13.04.21,,7286,,World Health Organization
Afghanistan,14.04.21,,8000,,World Health Organization
Afghanistan,15.04.21,,8000,,World Health Organization
Afghanistan,16.04.21,,8000,,World Health Organization
Afghanistan,17.04.21,,8000,,World Health Organization
Afghanistan,18.04.21,,8000,,World Health Organization
Afghanistan,19.04.21,,8000,,World Health Organization
Afghanistan,20.04.21,,8000,,World Health Organization
Afghanistan,21.04.21,,8000,,World Health Organization
Afghanistan,22.04.21,,8000,,World Health Organization
Afghanistan,23.04.21,,8846,,World Health Organization
Afghanistan,24.04.21,,9692,,World Health Organization
Afghanistan,25.04.21,,10538,,World Health Organization
Afghanistan,26.04.21,,11384,,World Health Organization
Afghanistan,27.04.21,,12229,,World Health Organization
Afghanistan,28.04.21,,13075,,World Health Organization
Afghanistan,29.04.21,,13921,,World Health Organization
Afghanistan,30.04.21,,13921,,World Health Organization
Afghanistan,01.05.21,,13921,,World Health Organization
Afghanistan,02.05.21,,13921,,World Health Organization
Afghanistan,03.05.21,,13921,,World Health Organization
Afghanistan,04.05.21,,13921,,World Health Organization
Afghanistan,05.05.21,,13921,,World Health Organization
Afghanistan,06.05.21,,13921,,World Health Organization
Afghanistan,07.05.21,,13921,,World Health Organization
Afghanistan,08.05.21,,13921,,World Health Organization
Afghanistan,09.05.21,,13921,,World Health Organization
Afghanistan,10.05.21,,13921,,World Health Organization
Afghanistan,11.05.21,55624,13921,0.14,World Health Organization
Afghanistan,12.05.21,,12621,,World Health Organization
Afghanistan,13.05.21,,11321,,World Health Organization
Afghanistan,14.05.21,,10022,,World Health Organization
Afghanistan,15.05.21,,8722,,World Health Organization
Afghanistan,16.05.21,,7422,,World Health Organization
Afghanistan,17.05.21,,6122,,World Health Organization
Afghanistan,18.05.21,,4822,,World Health Organization
Afghanistan,19.05.21,,4822,,World Health Organization
Afghanistan,20.05.21,77560,4822,0.2,World Health Organization
Afghanistan,21.05.21,,5040,,World Health Organization
Afghanistan,22.05.21,,5257,,World Health Organization
Afghanistan,23.05.21,,5474,,World Health Organization
Afghanistan,24.05.21,96910,5692,0.25,World Health Organization
Afghanistan,25.05.21,,6230,,World Health Organization
Afghanistan,26.05.21,111082,6768,0.29,World Health Organization
Afghanistan,27.05.21,113739,6487,0.29,World Health Organization
Afghanistan,28.05.21,,5907,,World Health Organization
Afghanistan,29.05.21,,5326,,World Health Organization
Afghanistan,30.05.21,119926,4746,0.31,World Health Organization
Afghanistan,31.05.21,,5084,,World Health Organization
Afghanistan,01.06.21,,5102,,World Health Organization
Afghanistan,02.06.21,144600,5119,0.37,World Health Organization
Afghanistan,03.06.21,148505,5285,0.38,World Health Organization
Afghanistan,04.06.21,,5273,,World Health Organization
Afghanistan,05.06.21,,5261,,World Health Organization
Afghanistan,06.06.21,,5250,,World Health Organization
Afghanistan,07.06.21,,4319,,World Health Organization
Afghanistan,08.06.21,158343,3388,0.41,World Health Organization
Afghanistan,09.06.21,,2637,,World Health Organization
Afghanistan,10.06.21,,2556,,World Health Organization
Afghanistan,11.06.21,,2735,,World Health Organization
Afghanistan,12.06.21,,2914,,World Health Organization
Afghanistan,13.06.21,,3093,,World Health Organization
Afghanistan,14.06.21,177266,3272,0.46,World Health Organization
Afghanistan,15.06.21,,4813,,World Health Organization
Afghanistan,16.06.21,,6175,,World Health Organization
Afghanistan,17.06.21,,7538,,World Health Organization
Afghanistan,18.06.21,,8900,,World Health Organization
Afghanistan,19.06.21,,10262,,World Health Organization
Afghanistan,20.06.21,,11624,,World Health Organization
Afghanistan,21.06.21,,12986,,World Health Organization
Afghanistan,22.06.21,183762,12986,0.47,World Health Organization
Afghanistan,23.06.21,,13125,,World Health Organization
Afghanistan,24.06.21,,13264,,World Health Organization
Afghanistan,25.06.21,,13404,,World Health Organization
Afghanistan,26.06.21,,13543,,World Health Organization
Afghanistan,27.06.21,186260,13682,0.48,World Health Organization
Afghanistan,28.06.21,,14263,,World Health Organization
Afghanistan,29.06.21,,14844,,World Health Organization
Afghanistan,30.06.21,187654,15286,0.48,World Health Organization
Afghanistan,01.07.21,,14115,,World Health Organization
Afghanistan,02.07.21,,12944,,World Health Organization
Afghanistan,03.07.21,,11773,,World Health Organization
Afghanistan,04.07.21,,10602,,World Health Organization
Afghanistan,05.07.21,189322,8989,0.49,World Health Organization
Albania,10.01.21,,,,Ministry of Health
